#长期数据集，每小时统计一次，并且：,,
,,
# max_sum_non_zero：48小时内（过去48小时）涨幅前10的新币的累计涨幅之和。,,
# min_sum_non_zero：48小时内（过去48小时）跌幅前10的新币的累计跌幅之和,,
,max_sum_non_zero,min_sum_non_zero
fudu_354,83.68%,-209.08%
fudu_355,83.21%,-197.93%
fudu_356,85.82%,-210.05%
fudu_357,81.03%,-243.61%
fudu_358,111.65%,-237.84%
fudu_359,132.14%,-219.54%
fudu_360,134.78%,-208.82%
fudu_361,118.37%,-213.60%
fudu_362,145.75%,-190.14%
fudu_363,180.30%,-174.86%
fudu_364,206.55%,-171.41%
fudu_365,154.00%,-186.56%
fudu_366,138.85%,-192.78%
fudu_367,59.23%,-249.92%
fudu_368,42.21%,-277.19%
fudu_369,-12.31%,-287.21%
fudu_370,-49.84%,-331.97%
fudu_371,-12.46%,-302.24%
fudu_372,14.78%,-257.93%
fudu_373,20.55%,-232.23%
fudu_374,53.03%,-196.33%
fudu_375,13.01%,-209.18%
fudu_376,87.13%,-150.00%
fudu_377,79.00%,-150.49%
fudu_378,92.36%,-148.95%
fudu_379,114.19%,-148.85%
fudu_380,99.58%,-159.60%
fudu_381,92.51%,-152.78%
fudu_382,188.93%,-180.95%
fudu_383,181.57%,-159.81%
fudu_384,183.58%,-158.98%
fudu_385,201.12%,-164.55%
fudu_386,176.82%,-149.31%
fudu_387,105.73%,-187.99%
fudu_388,111.33%,-179.54%
fudu_389,133.09%,-170.29%
fudu_390,120.97%,-176.24%
fudu_391,81.03%,-208.32%
fudu_392,93.16%,-201.49%
fudu_393,80.09%,-207.95%
fudu_394,29.87%,-253.02%
fudu_395,39.49%,-255.61%
fudu_396,53.01%,-227.60%
fudu_397,43.11%,-207.27%
fudu_398,28.87%,-211.49%
fudu_399,11.20%,-241.56%
fudu_400,12.51%,-233.94%
fudu_401,31.83%,-270.28%
fudu_402,14.36%,-292.43%
fudu_403,13.42%,-329.52%
fudu_404,38.68%,-343.36%
fudu_405,29.90%,-302.48%
fudu_406,16.34%,-346.15%
fudu_407,17.08%,-271.36%
fudu_408,10.78%,-267.87%
fudu_409,9.54%,-293.08%
fudu_410,10.39%,-324.15%
fudu_411,43.18%,-307.48%
fudu_412,100.19%,-284.70%
fudu_413,82.64%,-307.63%
fudu_414,130.85%,-131.35%
fudu_415,111.93%,-102.36%
fudu_416,140.14%,-99.20%
fudu_417,192.00%,-46.36%
fudu_418,170.52%,-44.48%
fudu_419,194.97%,-41.93%
fudu_420,185.19%,-48.53%
fudu_421,224.65%,-71.40%
fudu_422,234.41%,-104.15%
fudu_423,184.13%,-140.39%
fudu_424,181.70%,-141.73%
fudu_425,201.86%,-149.66%
