,max_sum_non_zero,min_sum_non_zero
fudu_1121,153.7606,-77.5663
fudu_884,77.4505,-77.7615
fudu_978,67.8875,-77.9482
fudu_915,153.0556,-78.0118
fudu_836,34.2047,-78.0428
fudu_453,109.4449,-78.1451
fudu_973,88.947,-78.4819
fudu_1189,157.9399,-78.5968
fudu_235,115.4079,-78.8185
fudu_3,225.4602,-78.9579
fudu_452,97.3766,-79.216
fudu_36,156.6441,-79.2638
fudu_1064,54.3143,-79.4714
fudu_245,144.5237,-79.479
fudu_66,125.9015,-79.5078
fudu_1277,194.0159,-79.6311
fudu_44,155.1078,-79.7242
fudu_1108,78.4382,-79.7935
fudu_1265,226.2074,-80.2213
fudu_165,110.3044,-80.2481
fudu_934,101.072,-80.2887
fudu_1206,182.1505,-80.4412
fudu_1398,110.5026,-80.5446
fudu_1029,51.7682,-80.7199
fudu_786,86.1048,-80.7491
fudu_983,98.5504,-80.8771
fudu_985,109.2838,-81.0993
fudu_989,117.9782,-81.2013
fudu_1276,195.1517,-81.2232
fudu_1192,150.8597,-81.2964
fudu_23,246.2297,-81.465
fudu_769,96.2455,-81.6178
fudu_606,77.6768,-81.7897
fudu_1050,22.5216,-82.1353
fudu_1062,50.9939,-82.3199
fudu_637,102.2276,-82.4858
fudu_1069,60.9842,-82.5047
fudu_1207,202.3566,-82.5347
fudu_963,49.1406,-82.5893
fudu_51,163.0468,-82.6173
fudu_171,92.6911,-82.7243
fudu_40,164.3979,-82.733
fudu_1043,22.9924,-82.8248
fudu_455,82.7318,-83.4517
fudu_1066,45.6235,-83.4623
fudu_179,90.2659,-83.4794
fudu_1117,110.2245,-83.6614
fudu_249,144.4512,-83.6992
fudu_603,88.9766,-83.7887
fudu_1065,55.7349,-83.8226
fudu_959,68.5213,-83.8464
fudu_1215,65.7593,-83.9169
fudu_968,43.2779,-83.9869
fudu_1039,29.351,-84.5195
fudu_1400,83.706,-84.6939
fudu_45,162.1645,-85.0468
fudu_244,126.1802,-85.0528
fudu_815,39.7827,-85.3035
fudu_168,84.9566,-85.5046
fudu_752,136.7669,-85.5678
fudu_936,94.4497,-85.6654
fudu_988,125.8084,-85.7632
fudu_835,33.46,-85.7976
fudu_1301,105.9261,-85.999
fudu_1107,93.4331,-86.0335
fudu_1193,161.507,-86.1878
fudu_817,49.8568,-86.4255
fudu_1001,79.98,-86.4883
fudu_1205,195.2448,-86.6979
fudu_1061,53.1426,-86.7034
fudu_1354,63.0559,-86.7835
fudu_1355,67.0582,-86.8242
fudu_982,98.8304,-86.8638
fudu_750,137.42,-86.8772
fudu_819,42.2467,-87.0169
fudu_164,110.126,-87.2098
fudu_1203,155.002,-87.2152
fudu_607,88.5924,-87.2649
fudu_515,59.4086,-87.3571
fudu_243,116.8202,-87.4105
fudu_938,108.9731,-87.5869
fudu_1059,39.6882,-87.774
fudu_239,109.1136,-88.3743
fudu_1302,89.4304,-88.7647
fudu_864,81.0957,-88.8128
fudu_987,137.4622,-88.9623
fudu_961,57.5346,-89.0113
fudu_876,60.8186,-89.3604
fudu_818,48.5018,-89.5273
fudu_1306,88.0235,-89.6151
fudu_1266,207.7991,-89.6413
fudu_770,88.0098,-89.9794
fudu_768,118.1293,-89.9865
fudu_783,83.5164,-89.9948
fudu_1109,77.8993,-90.0466
fudu_937,103.9163,-90.2202
fudu_935,91.2235,-90.2334
fudu_749,148.0792,-90.4974
fudu_46,136.3066,-90.7105
fudu_972,75.8302,-90.7426
fudu_1271,203.6995,-90.7507
fudu_1106,82.9623,-90.9532
fudu_990,95.1188,-90.9852
fudu_1399,77.3445,-91.0404
fudu_1353,41.9506,-91.0647
fudu_1264,224.2186,-91.2936
fudu_1212,194.8475,-91.4649
fudu_1060,41.5638,-91.5419
fudu_180,94.1849,-91.8741
fudu_181,99.3362,-92.0576
fudu_597,80.1517,-92.2602
fudu_454,74.519,-92.4447
fudu_1191,144.8725,-92.5161
fudu_787,71.2049,-93.2797
fudu_1116,88.0492,-93.308
fudu_1000,72.6455,-93.3377
fudu_35,155.2115,-93.3845
fudu_1345,41.5227,-93.4447
fudu_242,123.1063,-93.6381
fudu_608,62.6625,-93.6575
fudu_962,43.9749,-93.6988
fudu_1045,15.5868,-93.7148
fudu_1041,17.4518,-93.9665
fudu_986,100.1433,-94.0198
fudu_1030,46.6088,-94.2474
fudu_1202,149.0364,-94.3721
fudu_951,71.3561,-94.5442
fudu_823,23.6737,-94.5941
fudu_1453,65.9283,-94.7509
fudu_999,72.039,-94.8908
fudu_1044,14.4628,-95.0185
fudu_950,74.6297,-95.1303
fudu_833,36.0775,-95.1528
fudu_67,111.1557,-95.2639
fudu_234,88.5372,-95.2951
fudu_1401,63.6419,-95.4309
fudu_237,88.1921,-95.5153
fudu_53,164.7461,-95.5313
fudu_1042,15.7645,-95.6345
fudu_862,93.4809,-95.7784
fudu_1048,20.2984,-95.923
fudu_974,70.3282,-96.4543
fudu_970,52.6388,-96.4912
fudu_52,159.5942,-96.6127
fudu_820,25.7236,-96.7029
fudu_981,85.6581,-96.7959
fudu_1213,180.641,-96.8109
fudu_1452,57.0019,-96.9392
fudu_821,26.8278,-97.0317
fudu_971,57.67,-97.0386
fudu_163,110.828,-97.0991
fudu_169,79.5256,-97.4298
fudu_1028,46.812,-97.6957
fudu_310,134.7909,-97.7915
fudu_230,71.8358,-98.2518
fudu_190,41.8593,-98.2863
fudu_241,123.7545,-98.3053
fudu_1182,209.7097,-98.369
fudu_1114,76.0774,-98.4735
fudu_47,135.6605,-98.5327
fudu_314,152.9735,-98.5644
fudu_824,13.1502,-98.5854
